season,hometeam,awayteam,homegoals,awaygoals
2019/2020,Aston Villa,Wolves,0,1
2019/2020,Watford,Southampton,1,3
2019/2020,Crystal Palace,Burnley,0,1
2019/2020,Brighton,Man United,0,3
2019/2020,Arsenal,Norwich,4,0
2019/2020,Bournemouth,Newcastle,1,4
2019/2020,Everton,Leicester,2,1
2019/2020,West Ham,Chelsea,3,2
2019/2020,Sheffield United,Tottenham,3,1
2019/2020,Man City,Liverpool,4,0
2019/2020,Norwich,Brighton,0,1
2019/2020,Leicester,Crystal Palace,3,0
2019/2020,Man United,Bournemouth,5,2
2019/2020,Wolves,Arsenal,0,2
2019/2020,Chelsea,Watford,3,0
2019/2020,Burnley,Sheffield United,1,1
2019/2020,Newcastle,West Ham,2,2
2019/2020,Liverpool,Aston Villa,2,0
2019/2020,Southampton,Man City,1,0
2019/2020,Tottenham,Everton,1,0
